Sensor4_mean,Sensor4_std,Sensor4_min,Sensor4_max,Sensor5_mean,Sensor5_std,Sensor5_min,Sensor5_max,Sensor8_mean,Sensor8_std,Sensor8_min,Sensor8_max,Sensor9_mean,Sensor9_std,Sensor9_min,Sensor9_max,Label
73.5,0.7071067811865476,72.0,74.0,294.4,3.3399933466334266,290.0,299.0,309.6,50.98409337997272,219.0,358.0,19.6,0.5163977794943222,19.0,20.0,start1
73.4,0.6992058987801011,72.0,74.0,295.5,2.8382310609877335,292.0,301.0,248.1,44.12217885221294,196.0,324.0,19.7,0.4830458915396479,19.0,20.0,start1
73.6,0.5163977794943222,73.0,74.0,295.2,2.25092573548455,293.0,301.0,235.0,25.113077602449817,196.0,285.0,20.0,0.6666666666666666,19.0,21.0,start1
72.9,1.1005049346146119,71.0,74.0,295.1,2.5582111805799856,293.0,301.0,254.3,26.33143453069818,219.0,295.0,19.3,1.4181364924121764,16.0,21.0,start1
72.2,0.7888106377466153,71.0,74.0,317.5,27.55701161027605,293.0,359.0,255.8,21.24356111599204,230.0,295.0,18.9,1.1005049346146116,16.0,20.0,start1
72.3,0.6749485577105528,72.0,74.0,349.8,18.954917274651688,308.0,364.0,234.4,21.899771688307624,200.0,272.0,19.4,0.6992058987801011,18.0,20.0,start1
72.1,0.8755950357709131,71.0,74.0,354.6,6.4670103001481465,348.0,364.0,226.8,12.191071414039957,200.0,241.0,19.4,0.6992058987801011,18.0,20.0,start1
71.7,0.8232726023485645,71.0,73.0,355.1,7.593125545883958,348.0,369.0,222.4,18.73321470899571,187.0,241.0,19.9,0.7378647873726218,19.0,21.0,start1
72.2,1.0327955589886444,71.0,74.0,351.8,11.48719093406023,339.0,369.0,191.7,27.38227326006533,137.0,232.0,20.4,0.5163977794943222,20.0,21.0,start1
72.6,0.6992058987801011,72.0,74.0,343.7,6.056218108504496,339.0,356.0,187.5,23.234313704805945,137.0,214.0,20.4,0.5163977794943222,20.0,21.0,start1
72.5,0.5270462766947299,72.0,73.0,348.0,5.291502622129181,340.0,356.0,213.4,17.417743188420758,178.0,241.0,20.6,0.5163977794943222,20.0,21.0,start1
72.9,0.7378647873726218,72.0,74.0,350.2,1.6193277068654826,348.0,353.0,229.7,12.04666851134463,212.0,251.0,20.5,0.5270462766947299,20.0,21.0,start1
73.2,0.6324555320336758,72.0,74.0,348.1,1.852925614624973,345.0,351.0,212.8,24.247794859647662,184.0,251.0,20.5,0.7071067811865476,20.0,22.0,start1
73.1,0.5676462121975467,72.0,74.0,346.3,1.2516655570345725,344.0,348.0,190.6,5.146735750831676,180.0,195.0,20.6,0.6992058987801011,20.0,22.0,start1
72.9,0.7378647873726218,72.0,74.0,351.5,9.180292902613607,344.0,369.0,185.0,7.086763875156433,173.0,194.0,20.4,0.5163977794943222,20.0,21.0,start1
72.5,0.8498365855987975,71.0,74.0,362.5,9.513148795220223,344.0,374.0,176.9,5.506561742341788,170.0,186.0,20.4,0.5163977794943222,20.0,21.0,start1
72.2,0.7888106377466154,71.0,73.0,365.9,3.6953424138441564,362.0,374.0,182.7,14.621521428664286,170.0,213.0,20.7,0.674948557710553,20.0,22.0,start1
72.1,0.7378647873726218,71.0,73.0,369.9,7.709301740970664,362.0,383.0,194.1,10.908202825804485,173.0,213.0,21.0,0.6666666666666666,20.0,22.0,start1
75.2,5.223876806442595,71.0,84.0,345.0,63.459523407532075,222.0,393.0,283.6,144.59921622655267,192.0,624.0,28.5,11.937336386313323,20.0,49.0,start1
80.9,4.931756504757936,72.0,86.0,294.5,62.021949519683936,222.0,393.0,463.5,150.35458090793244,193.0,624.0,37.8,9.727395449051212,21.0,49.0,start1
83.1,2.6012817353502227,80.0,88.0,262.1,26.261293866745323,238.0,311.0,524.5,57.57169443398379,417.0,603.0,35.8,5.266244708835066,31.0,44.0,start1
80.7,3.334999583541537,77.0,88.0,254.3,8.06983408889069,238.0,266.0,479.8,51.15944574454349,396.0,550.0,30.7,1.567021236472421,29.0,33.0,start1
80.0,2.1081851067789197,77.0,83.0,259.1,4.408325456829762,253.0,266.0,453.0,38.03799270320253,396.0,522.0,29.5,0.5270462766947299,29.0,30.0,start1
82.2,1.3165611772087666,79.0,83.0,264.3,6.976946164173676,255.0,275.0,439.6,23.319996188297765,399.0,467.0,29.6,0.5163977794943222,29.0,30.0,start1
84.1,1.5238839267549946,83.0,87.0,270.5,3.3747427885527643,263.0,275.0,449.4,21.531372459738837,420.0,480.0,29.9,0.7378647873726217,29.0,31.0,start1
86.0,1.3333333333333333,83.0,87.0,259.2,14.793391918165504,233.0,273.0,450.2,23.999074056212162,404.0,480.0,30.6,1.1737877907772674,29.0,33.0,start1
85.5,1.509230856356236,83.0,87.0,240.6,10.28699286585843,233.0,259.0,391.0,56.44663162866516,335.0,474.0,36.2,5.613475849338902,30.0,43.0,start1
84.7,1.6363916944844772,83.0,89.0,231.4,4.6951511631090685,221.0,236.0,393.2,71.10993054575586,326.0,482.0,41.1,1.1005049346146119,40.0,43.0,start1
85.9,1.7288403306519917,84.0,89.0,226.6,4.452215428550399,221.0,234.0,451.4,47.06307823903291,326.0,486.0,40.5,0.97182531580755,39.0,42.0,start1
86.3,0.8232726023485645,85.0,88.0,226.4,2.590581230363393,223.0,230.0,454.5,28.73731604261841,420.0,510.0,40.0,0.816496580927726,39.0,41.0,start1
86.8,1.2292725943057183,85.0,89.0,227.3,2.6687491868330793,221.0,230.0,445.5,33.69223451578519,388.0,510.0,39.8,0.6324555320336758,39.0,41.0,start1
88.4,1.1737877907772671,86.0,90.0,226.3,3.743141876967945,220.0,233.0,447.9,23.6053195511332,388.0,468.0,39.7,1.4181364924121764,36.0,41.0,start1
89.7,0.8232726023485645,89.0,91.0,227.8,3.583914681524163,220.0,233.0,453.6,6.0955357070199785,446.0,468.0,37.9,2.998147576235848,31.0,41.0,start1
90.2,0.7888106377466154,89.0,91.0,228.6,1.1737877907772671,227.0,230.0,456.0,6.377042156569663,446.0,464.0,38.4,3.0623157540948935,31.0,41.0,start1
89.5,1.2692955176439846,87.0,91.0,227.7,1.636391694484477,225.0,231.0,461.6,4.1952353926806065,456.0,471.0,40.7,0.6749485577105528,40.0,42.0,start1
88.2,1.1352924243950933,87.0,90.0,231.2,7.983315935958775,225.0,246.0,462.1,5.0431471655438855,456.0,471.0,40.6,0.6992058987801011,40.0,42.0,start1
87.5,0.8498365855987975,86.0,89.0,248.0,15.499103916750228,226.0,264.0,478.9,19.53600664300551,457.0,511.0,40.3,0.4830458915396479,40.0,41.0,start1
87.6,0.9660917830792958,86.0,89.0,265.0,5.163977794943222,254.0,271.0,491.4,11.596934460834419,477.0,511.0,40.2,0.4216370213557839,40.0,41.0,start1
87.5,0.7071067811865476,87.0,89.0,266.6,3.062315754094894,262.0,271.0,475.5,14.89407040849926,455.0,499.0,40.5,0.7071067811865476,40.0,42.0,start1
87.0,0.4714045207910317,86.0,88.0,260.9,4.629614814791111,252.0,266.0,465.2,8.337332373793856,453.0,479.0,40.6,0.6992058987801011,40.0,42.0,start1
86.6,0.8432740427115678,85.0,88.0,254.2,4.589843860815601,250.0,261.0,468.5,11.108055135301088,448.0,479.0,40.3,0.4830458915396479,40.0,41.0,start1
86.3,1.0593499054713802,85.0,88.0,250.0,1.247219128924647,248.0,251.0,467.0,10.402991022884823,448.0,478.0,40.2,0.4216370213557839,40.0,41.0,start1
85.9,0.8755950357709131,85.0,88.0,247.8,1.8737959096740262,245.0,251.0,463.8,8.024961059095553,448.0,472.0,40.1,0.5676462121975466,39.0,41.0,start1
81.0,9.775252199076787,62.0,87.0,252.0,13.498971154211057,244.0,278.0,433.0,54.55883674224247,329.0,472.0,38.5,3.4721111093332766,32.0,41.0,start1
69.4,11.256603000510903,61.0,87.0,266.7,15.513793146029045,244.0,278.0,364.2,59.12848533302522,323.0,462.0,35.0,3.80058475033046,31.0,41.0,start1
62.5,0.7071067811865476,61.0,63.0,274.1,2.6436506745197805,269.0,278.0,327.2,8.189424074174365,318.0,348.0,32.4,1.1737877907772671,31.0,34.0,start1
62.5,0.5270462766947299,62.0,63.0,269.3,3.7133393177689653,265.0,274.0,333.3,9.405081368896049,318.0,348.0,30.8,1.3165611772087666,29.0,33.0,start1
62.3,0.6749485577105528,61.0,63.0,266.7,1.3374935098492586,265.0,269.0,341.8,7.345444544447637,336.0,357.0,29.7,0.6749485577105528,29.0,31.0,start1
62.0,0.6666666666666666,61.0,63.0,266.5,1.4337208778404378,263.0,268.0,350.4,8.435375246872871,337.0,357.0,29.6,0.5163977794943222,29.0,30.0,start1
61.8,0.6324555320336759,61.0,63.0,263.6,2.6331223544175333,260.0,267.0,352.8,3.2249030993194197,348.0,357.0,29.8,0.6324555320336759,29.0,31.0,start1
61.9,0.5676462121975466,61.0,63.0,260.4,1.349897115421106,258.0,262.0,349.4,3.2041639575194445,345.0,356.0,29.7,0.8232726023485646,28.0,31.0,start1
62.5,0.8498365855987975,62.0,64.0,255.8,5.28730134903956,245.0,260.0,347.6,3.7771241264574114,344.0,356.0,29.3,1.0593499054713802,28.0,31.0,start1
